outlier.1	outlier.2	outlier.3
3.161362924869219	-0.061740010238771514	-1.0364949267864139
NaN	-0.6252526805971743	-0.4111636862040017
NaN	-0.2733736268091751	-0.12398404137071273
NaN	4.5897354528569245	-0.10333318221506405
NaN	-0.1341749827992107	0.004783856657187613
NaN	-0.20905058677598598	-0.3413036486978249
NaN	NaN	5.2786763055454395
NaN	NaN	5.501678227461786
NaN	NaN	5.491423417167484
NaN	NaN	5.820904470187013
NaN	NaN	5.41395808949773
NaN	NaN	5.521699844578292
NaN	NaN	5.776850979221063
NaN	NaN	5.302411106479956
NaN	NaN	5.622781041904187
NaN	NaN	5.716103903931485
NaN	NaN	-0.43561718715842
NaN	NaN	-0.09336810002238494
NaN	NaN	-0.4686523356165586
NaN	NaN	-0.7070137103970286
NaN	NaN	-0.17416226029353998
NaN	NaN	0.059376174726398556
