Zm	Sb	At
-0.025257915661882062	-0.034472059704936914	0.06034547059471072
-0.0075202106400836626	-0.044656487934462835	-0.003882409271796405
-0.011255792266288565	-0.07531990580395391	0.08631620950518287
-0.02794620370827063	-0.044409863439866124	0.039426004981145193
-0.04020552414658128	-0.102576754950997	0.01652330632395363
-0.03892879759250055	-0.1036593340005203	0.009479546437187817
0.01870603856448548	-0.1032942731515604	0.028579137299120882
0.06618026982562018	-0.011729098542810838	0.028080880878721463
0.07230141759249088	0.017921660968111573	0.003239610073399366
0.007151661580302009	-0.03412936614097433	-0.0024730858573677136
0.03491433885073701	0.0017217553625232303	-0.02813711391822378
0.07266531391651249	NaN	0.04038650039650683
-0.04361656178287933	NaN	0.018874983326036814
0.0038984057702922065	NaN	0.01798402770190067
-0.0332854820542763	NaN	0.019933595568306827
-0.03355949391453459	NaN	0.00936776694409035
0.019014284240447266	NaN	0.010557394373645035
-0.021483035650112347	NaN	0.029616878101999422
-0.011420339760465824	NaN	0.014716528355118046
0.017720395683374558	NaN	-0.008682787212315343
-0.027589377371010585	NaN	0.022616896830098192
-0.03376499031941719	NaN	-0.01963771716667868
0.0227702077579649	NaN	-0.016689486332088797
NaN	NaN	0.007446007425060555
NaN	NaN	-0.017384042617676114
NaN	NaN	-0.032941140001593795
NaN	NaN	0.007743500480107375
NaN	NaN	-0.009367321347581586
NaN	NaN	-0.010947668101334615
NaN	NaN	-0.008254441353470254
NaN	NaN	-0.008225598581853162
NaN	NaN	-0.019621967515708483
NaN	NaN	-0.022241798192347347
NaN	NaN	-0.006174591873099605
NaN	NaN	0.006115785742667411
NaN	NaN	-0.006727956468056729
NaN	NaN	-0.020929731500890045
NaN	NaN	0.018870153861264782
NaN	NaN	0.05586337928269319
NaN	NaN	-0.013792908699809401
NaN	NaN	0.036464019645857035
NaN	NaN	0.03093396537144396
NaN	NaN	-0.008799571970643131
NaN	NaN	-0.012487862541350826
NaN	NaN	-0.00345651980449962
NaN	NaN	-6.828423989152109e-4
NaN	NaN	-0.016391377369287575
NaN	NaN	0.02948494786060934
NaN	NaN	0.015560513966103721
NaN	NaN	-0.0333450854294679
NaN	NaN	-0.031097929228824994
NaN	NaN	-0.02159492045809729
NaN	NaN	-0.0017013353430592004
NaN	NaN	0.0030706797486365163
