enrichment	expression
-0.9094982453228417	3.807354922057604
-1.3510744405468786	1
-2.4301740048357443	3.807354922057604
-2.7603799290721334	5.727920454563199
-2.3076177559174784	4.087462841250339
-2.1414907832855885	2.584962500721156
-1.4321098808299246	4.392317422778761
0.1487143209173436	5.087462841250339
-0.8137755180306756	-3.321928094887362
-1.854172458113219	1
-1.8299909473325195	6.614709844115208
-1.5267337511553294	-3.321928094887362
-1.909836869865428	4.247927513443585
-1.5426236433092555	-3.321928094887362
-2.608809242675524	-1
-1.8155885278519892	-3.321928094887362
-0.02914634565951646	2
-1.634067862051387	2.321928094887362
-2.9938657022982924	-3.321928094887362
-1.6995839266076849	5.247927513443585
-1.1490365346596831	4.392317422778761
0.6044672797242252	-3.321928094887362
-1.1444012291922605	3.9068905956085187
2.4363111434127083	6.129283016944966
-1.6348044512084687	5.614709844115208
0.33218753460876405	4
-1.5591241238891842	1
-2.347269558350704	-3.321928094887362
-2.39043504131404	-1.3219280948873622
-0.700367311364217	2.807354922057604
-1.7042939959192203	-3.321928094887362
-0.5246909170307524	2.584962500721156
-2.3606712602464555	4.169925001442312
-1.3300645429577882	-0.7369655941662062
-3.2416391802958326	-3.321928094887362
1.6540889678183137	7.870364719583405
-1.5139148180265218	3.807354922057604
0.40979936494126445	2
-2.1932084106695378	-1.3219280948873622
0.31871496030764596	-2.321928094887362
0.006059343753976487	3.584962500721156
0.28442570377319687	8.164906926675688
-1.4144949601070809	-1.7369655941662063
1.1952276436959148	-3.321928094887362
-1.7106753057242317	0
-2.0689355163083545	3
0.8106752750591815	4.954196310386875
-2.52380968509844	-1
-1.1058689186800734	1
-1.0329953459401784	-0.15200309344504995
-1.7085894158879578	-1.3219280948873622
-1.5316788222165325	4.754887502163468
-0.6114590445280983	0
-2.7356528594627942	5.169925001442312
-2.206188620913185	1.584962500721156
-2.311483186737422	0
-1.6737202230395698	3.4594316186372973
-0.18367964655246127	3.321928094887362
-1.141428560606193	5.285402218862249
-1.793736309771189	6
-2.2207791877657685	2.584962500721156
-2.3687456309429775	-3.321928094887362
0.44983438554890265	1
-2.297755569770892	-1
-1.9268421396952387	-3.321928094887362
-2.7326644289018884	4.523561956057013
-2.4488884297945592	0
-1.9031356684578475	2.584962500721156
-2.8397185359905226	3
-1.682791658960955	2.584962500721156
-1.985772110169856	4.247927513443585
-2.891597475716546	2
-2.491993136517085	2.584962500721156
-2.5092735691246095	2.584962500721156
-1.5580663153288623	-3.321928094887362
-3.3700129733625763	-3.321928094887362
-1.824725613586435	1
-2.421286653971756	-3.321928094887362
-2.294522993927047	3.700439718141092
-2.1376927544751663	5.285402218862249
-1.7428125057795767	-0.3219280948873623
-3.33678722479995	6.108524456778169
-1.9650131500141435	5.169925001442312
-1.5939360706134902	6.20945336562895
-2.134440266586509	3.321928094887362
-2.329537366061832	3.700439718141092
-0.41806038961951175	3.9068905956085187
-1.6419235438492639	5.727920454563199
-2.2743221663986386	-1.3219280948873622
-0.9929394458776737	-3.321928094887362
-2.4016902416828616	-3.321928094887362
-1.6348044512084687	5.087462841250339
