sample	p.value	med	lq	uq	lw	uw	n	id
10	2.4414062500000016e-4	1.5861344709553058	1.3980099231692082	2.5087840639924233	1.0850394547515447	3.1504930570403515	13	1
30	4.882812500000003e-4	1.322459778488597	1.0017382978904148	1.663582525810121	0.2981213225434547	2.5811547839172846	12	2
35	2.4414062500000016e-4	1.2656907302581564	0.9981852206786443	1.5127133282000234	0.5389237943287082	1.9577703568730052	13	3
40	4.882812500000003e-4	1.1912129594466747	0.8947287476913918	1.3695411027955107	0.3091537931746	1.7579817654654637	12	4
50	1.2207031250000005e-4	1.3307986153580698	0.8445557018596593	1.5240682626002398	0.21324939690332867	2.1830639493989485	14	5
60	1.2207031250000005e-4	1.2626587989961646	1.0111029352641885	1.6036084826896069	0.4883665859855697	1.9605912510815102	14	6
65	0.0014648437500000009	1.118369353412648	0.9666620388339273	1.3652127849666158	0.3688359196348946	1.864937807077698	12	7
70	4.882812500000003e-4	1.3873464808367069	1.2519617777215148	1.6888064538755205	0.7008932378904935	2.344073468106529	12	8
80	2.4414062500000016e-4	1.4035933545115054	1.1907110564979528	1.9076241668441312	0.7695560453294421	2.540430350280199	13	9
90	1.2207031250000005e-4	1.9146573874982629	1.8549525088531866	2.1219906007100433	1.4543953710679016	2.5225477384953283	14	10
95	2.4414062500000016e-4	1.3431671622935906	1.04949044876187	1.6781747964526068	0.7324212351172055	2.0250647135923123	13	11
100	1.2207031250000005e-4	1.5757044562510334	1.1537456145789848	1.9762275601378336	0.8695232700769215	2.325765058830073	14	12
105	2.4414062500000016e-4	1.4991944750470072	1.2316981726401897	1.9016508478438823	0.8787430657908563	2.2745271917825782	13	13
110	2.4414062500000016e-4	1.6173736928964302	1.2683503374168892	1.952334262947649	0.8099110781880415	2.5052440719009725	13	14
115	4.882812500000003e-4	1.9009787100582658	1.6018333340913808	2.063620845479231	1.007811258742684	2.5823554752393694	12	15
120	0.07714843750000006	0.3843161930872546	-0.01004964690939758	0.9113658562901732	-0.5873283452444966	1.3465531940579558	12	16
150	0.0017089843750000013	-1.1057148802262056	-1.297263060257254	-0.8115486975849646	-1.7847202492489247	-0.08297715357653068	13	17
155	0.012207031250000009	-1.1426585233893216	-1.3627298769815415	-0.3832475263101626	-1.7790712117893333	0.8976846292556222	12	18
160	0.005859375	-1.5380550121037166	-2.057518064926187	-0.7909859262254229	-2.434583639419825	0.39247313217915636	10	19
