Zm	Sb	At
-0.06797359929843652	4.8357383939971553e-4	-0.05334715597208848
-0.03088589761509368	-0.006930825503985233	-0.1060394875415622
-0.0442547215289078	-0.052301507013240225	-0.05187789863249786
-0.0704094499127077	0.04377632927907787	-0.05800676991652648
-0.11427896856262383	-0.12455841838114062	-0.0815775476532278
-0.1209821529740622	-0.11147695759296758	-0.09957248230584886
-0.010986447172166174	-0.11902858694871708	-0.06622812161938821
0.13091347267656916	-0.0058983310905305645	-0.09287690150710551
0.166771372564455	0.06343766551511953	-0.1061213135956902
-0.033683021325823036	6.029403794012564e-4	-0.1107293604467077
0.0635874679378825	0.04558845063021811	-0.11540285725091662
0.14298305099403222	NaN	-0.08547906158249254
-0.00803592798520689	NaN	-0.09843349382867647
0.02677208253491769	NaN	-0.0990385549214443
-0.07208172277202977	NaN	-0.09746345169083145
-0.06690863355932353	NaN	-0.10607777603565952
0.056607548055872876	NaN	-0.10427822631405641
-0.04784031199147566	NaN	-0.08810951447638563
0.002203268757834441	NaN	-0.09660047473295058
0.06788430883025327	NaN	-0.11216337156722779
-0.021714524344788256	NaN	-0.09749130599529693
-0.029999791487468848	NaN	-0.10973029257014423
0.06009559534037122	NaN	-0.10716966432406896
NaN	NaN	-0.08360966354585171
NaN	NaN	-0.1040313774597021
NaN	NaN	-0.05907578815462487
NaN	NaN	-0.06173326738294191
NaN	NaN	-0.0624662545390576
NaN	NaN	-0.075716097184503
NaN	NaN	-0.07490263053835271
NaN	NaN	-0.06755120757976656
NaN	NaN	-0.09186229175174469
NaN	NaN	-0.09448732324955032
NaN	NaN	-0.0800441820354446
NaN	NaN	-0.07363328226479919
NaN	NaN	-0.09280296048156796
NaN	NaN	-0.10605770188941739
NaN	NaN	-0.07460100210569336
NaN	NaN	-0.05142133538910938
NaN	NaN	-0.028108135446553356
NaN	NaN	-0.05582147408058907
NaN	NaN	-0.04254447136709922
NaN	NaN	-0.09022419452713819
NaN	NaN	-0.05143522721319139
NaN	NaN	-0.10121375498728526
NaN	NaN	-0.09388139789345604
NaN	NaN	-0.10658131186311177
NaN	NaN	-0.05880535635959951
NaN	NaN	-0.07081608180059204
NaN	NaN	-0.10591791793441874
NaN	NaN	-0.10510767935317501
NaN	NaN	-0.0990699521208578
NaN	NaN	-0.0864011198864172
NaN	NaN	-0.07844470565641748
