x.1	x.2	x.3	x.4	x.5	x.6	y.1	y.2	y.3	y.4	y.5	y.6
0	0	0	0	0	0	-5.637378394872295	-4.727453739174143	-6.574439658878697	-6.210281059264137	-5.844290339367266	-4.132276681296024
1.8849801953749074e-4	0.0057853668014125805	1.9207628180654978e-4	0.005787492018295641	2.213127041606029e-4	0.036284609994361526	-5.637378394872295	-4.727453739174143	-6.574439658878697	-6.210281059264137	-5.844290339367266	-4.132276681296024
1.8023430384822786e-4	0.005756113280666809	2.4416333333540966e-4	0.005992111386661053	2.564833097094375e-4	0.03925468501068434	-5.595907082041326	-4.697985727981951	-6.531395288750525	-6.180092716475752	-5.805338602715334	-4.105447444420165
1.5841528745542063e-4	0.00566402880981291	3.171401302330384e-4	0.006169266458901218	2.9241284829182505e-4	0.04233232327003047	-5.554435769210357	-4.6685177167897605	-6.488350918622352	-6.149904373687367	-5.766386866063403	-4.078618207544306
1.2940029513403847e-4	0.0055148993754094155	4.207843797521625e-4	0.006317555113673264	3.302201382886218e-4	0.04552851380810095	-5.51296445637939	-4.639049705597569	-6.445306548494179	-6.1197160308989815	-5.727435129411471	-4.051788970668447
1.0121849689997019e-4	0.0053105647943807385	5.604798905709542e-4	0.006437575033619399	3.71639042814615e-4	0.04883310260336581	-5.471493143548421	-4.609581694405378	-6.402262178366007	-6.089527688110596	-5.688483392759539	-4.0249597337925875
8.165567320365582e-5	0.005064013427163194	7.343657678601041e-4	0.006527419849316457	4.1956347447557403e-4	0.052250393052225064	-5.430021830717452	-4.580113683213186	-6.359217808237834	-6.059339345322211	-5.649531656107608	-3.998130496916729
7.770123925474998e-5	0.0047785497622312165	9.304377542260866e-4	0.006589746531149251	4.7683999282819184e-4	0.055779352822333754	-5.388550517886483	-4.550645672020996	-6.3161734381096615	-6.029151002533826	-5.6105799194556765	-3.9713012600408697
9.291227732066137e-5	0.004469886159858458	0.0011265271245871138	0.006621944151334087	5.464572260045818e-4	0.05941811958511174	-5.347079205055515	-4.521177660828804	-6.273129067981488	-5.998962659745442	-5.571628182803745	-3.9444720231650106
1.2833410031426164e-4	0.004145821136992588	0.001291166006887649	0.006628437253327083	6.308707722133921e-4	0.06317482621015737	-5.305607892224547	-4.491709649636613	-6.230084697853315	-5.968774316957057	-5.532676446151813	-3.917642786289152
1.8333632724269386e-4	0.0038197185312826075	0.0013994862502756788	0.006606048118027547	7.313246747149869e-4	0.0670410087933491	-5.264136579393578	-4.4622416384444215	-6.187040327725143	-5.938585974168672	-5.493724709499881	-3.8908135494132927
2.5621821204871583e-4	0.003502995565791267	0.001440835020051353	0.006560749863870443	8.468126661213189e-4	0.07103423625227515	-5.222665266562609	-4.432773627252231	-6.14399595759697	-5.908397631380287	-5.45477297284795	-3.8639843125374336
3.4617451343797566e-4	0.00320685703859971	0.0014253184858499775	0.00648946081938991	9.724064051406092e-4	0.07513814804227352	-5.181193953731641	-4.403305616060039	-6.100951587468797	-5.8782092885919015	-5.4158212361960185	-3.8371550756615744
