sample.name	rep1	rep2
noENH	-3.332816998651921	-2.708907755264357
withENH	0.31247063851535695	0.19482609042946508
withENH	3.2808511538894827	2.9813983461275857
noENH	-2.7358818562646885	-2.3726950842786088
noENH	-5.816801851648256	-5.537291495730063
withENH	-1.032809325014279	-1.8688988391135408
noENH	-3.124635550279215	-1.6419817945474382
noENH	0.04560335811176497	-0.21336104793155308
noENH	-1.4192366716032416	-0.6345669636392807
noENH	NaN	-4.555506362335279
noENH	-2.932279069068192	-1.9024352986408384
withENH	0.8151875815406711	0.424723886553676
noENH	-4.29205333961259	-3.455076732441875
noENH	-1.6008272468124083	-2.20498138231558
withENH	-2.670239245629571	-2.6855916257504813
withENH	-1.1296708642668682	-2.6244801114470944
noENH	-1.1767250361151498	-1.8229272475031513
noENH	-1.355463472017361	-0.6881163979778318
noENH	-1.204358614504993	-1.6088274881731928
withENH	2.2626465585118924	1.996525139199593
withENH	1.1371156764280335	1.2960854210585009
withENH	2.2557601729266525	1.5905327795237565
noENH	-1.9671675193486209	-1.9103033218364183
withENH	-1.3407577045471042	-1.8688988391135408
noENH	-2.785322209709309	-2.766468304767321
noENH	-4.858278487624415	-5.046702963444043
withENH	-1.3223159422092636	-1.496930061726583
noENH	-2.212758609361395	-0.9828821618826687
noENH	-2.7623540676258798	-3.092506653057167
withENH	-3.518236152184521	-2.4094672204762437
noENH	-5.384094871832076	-3.895367183501144
withENH	-1.9181667590731561	NaN
noENH	-5.039194272984704	-4.092506653057168
noENH	-3.303689635946778	-2.6712251428050062
noENH	-2.3706162882439084	-2.230366485789622
withENH	1.1848368560731848	1.2541286695305949
noENH	-1.2623748106064405	-0.5355585285056076
noENH	-1.4459129381560407	-1.185616057448649
withENH	2.0915417323989356	1.9320690726092582
withENH	2.6413469050363325	2.238231035592875
withENH	3.199176644560285	3.1265856797639664
withENH	0.394716196211199	0.6770695299917517
withENH	0.3297607543704293	0.039122838513626634
withENH	0.8245254461200071	0.3659018859913087
noENH	-1.932130780955748	-2.006953609920348
withENH	-2.75770208687991	-2.7492072702289665
withENH	-0.36538466410115	-0.5998781124467092
noENH	-1.2477808947961218	-0.6848486841439211
noENH	-4.567282252288944	-3.4144347479445294
withENH	-1.670239245629571	-2.0793186187839128
noENH	-2.4259264030434022	-3.150245261767135
noENH	-4.849374622583152	-4.192042326608082
withENH	-2.943257740035987	-3.6150461516321886
noENH	-2.780275975623142	-2.711416485701661
noENH	-3.057809951152051	NaN
noENH	-1.5819137134723715	-0.9559974058539591
withENH	1.3055132081237517	1.562787789040852
noENH	-0.2951123941940671	-0.03196511112211642
withENH	0.7160555063188929	-0.5563086088055147
noENH	-0.4948737567608936	0.0025064506922436447
noENH	-3.844627478483752	-3.376743842023461
noENH	0.9858387819635805	0.30307848355550404
withENH	-2.199963478169942	-2.383472011943299
withENH	-3.1149760168951253	NaN
withENH	1.962028969869942	0.38408190205632997
noENH	-2.130406080867906	-2.444932271171286
withENH	-0.5447083635457117	-1.8187583092166728
noENH	-4.225828191600765	-3.323018505333679
withENH	-0.09146860713633087	-0.023876565724184173
noENH	-2.903132723408676	-2.0325382202518494
withENH	2.9315040731653403	2.652151897787422
noENH	-3.6103509741808297	-3.1774691537783233
noENH	-3.972921053565538	-3.455076732441875
withENH	-3.5131392555020167	-4.081892562447739
noENH	-3.6103509741808297	NaN
withENH	1.6480247315308787	1.3624778239011721
noENH	NaN	-2.8514985535533723
withENH	-0.36037528618865444	-0.5076658268779953
noENH	-5.326969813226864	-4.440429956477474
noENH	-0.4521364169393933	-1.0739707016197395
noENH	-4.679102736055797	-4.414434747944529
withENH	1.6444572800267157	1.8587702513409639
withENH	3.1227620197868893	3.307846316229245
withENH	0.72909535146612	1.153127467216458
withENH	-1.4587351404358588	-1.7313953153636061
noENH	-2.4116114102335597	-2.397361234585588
withENH	0.41440887394891257	0.07957086024637694
withENH	1.4724618638015534	1.186142524444421
withENH	2.323200962170639	2.3154003395372227
