x.1	x.2	x.3	x.4	x.5	x.6	x.7	x.8	x.9	x.10	y.1	y.2	y.3	y.4	y.5	y.6	y.7	y.8	y.9	y.10
0	0	0	0	0	0	0	0	0	0	-5.296261461047779	-4.67463868094954	-4.576678575961912	-5.652680122684437	-5.0538366476084455	-4.956932532977419	-4.801914683716124	-5.226703301493876	-5.570642159811624	-5.844290339367266
0.00065902714409525295	0.0038360625241248476	0.005003736428567993	6.405814398062254e-4	0.0022296250556360893	0.002177849305479755	0.006295648494515077	0.0011955320888721135	0.004250032121649784	0.001411519779251499	-5.296261461047779	-4.67463868094954	-4.576678575961912	-5.652680122684437	-5.0538366476084455	-4.956932532977419	-4.801914683716124	-5.226703301493876	-5.570642159811624	-5.844290339367266
6.534095374667795e-4	0.004372854964749921	0.005641445403103527	6.74945592612165e-4	0.0025209591894016043	0.002452016249769224	0.007081969035806861	0.0012778502611791099	0.004689949853016658	0.0015843969951795744	-5.259458857252002	-4.6413768208902715	-4.547139507331033	-5.6163735812476805	-5.0238405942232855	-4.925332739327384	-4.774641282473449	-5.194557760278517	-5.54522066801686	-5.810849725702383
6.33086294223611e-4	0.004941055088730011	0.006336432524917372	7.076850025401897e-4	0.0028378613000706364	0.002736912650650658	0.007925402212218565	0.0013639942966841194	0.0051269069943869735	0.00173556638255878	-5.2226562534562255	-4.608114960831003	-4.517600438700153	-5.580067039810923	-4.993844540838126	-4.89373294567735	-4.747367881230774	-5.1624122190631585	-5.5197991762220955	-5.777409112037501
6.003510314827565e-4	0.005537607113944147	0.007090907102499864	7.415722121304992e-4	0.00318533754087248	0.0030317979684512503	0.00883555331556324	0.0014632970783404963	0.005561110288249218	0.0018697453658821682	-5.185853649660449	-4.574853100771734	-4.488061370069274	-5.543760498374167	-4.963848487452966	-4.862133152027315	-4.7200944799880995	-5.1302666778478	-5.494377684427332	-5.743968498372618
5.613458139874785e-4	0.00616403962798277	0.007913245243539334	7.801833463570182e-4	0.0035603886589454566	0.003338520632744016	0.009817900761465189	0.0015844652785060782	0.005996765533783852	0.0019986220171628512	-5.149051045864672	-4.541591240712465	-4.4585223014383955	-5.50745395693741	-4.933852434067806	-4.830533358377281	-4.692821078745426	-5.098121136632441	-5.468956192632567	-5.7105278847077345
5.216468853993906e-4	0.006827205244889435	0.008820541876255618	8.265500467127434e-4	0.003964581096125452	0.0036613478056092565	0.01087377321517305	0.001738144674848406	0.0064405825784498395	0.0021430926280243327	-5.112248442068895	-4.508329380653196	-4.428983232807516	-5.471147415500653	-4.903856380682646	-4.798933564727246	-4.665547677502751	-5.065975595417083	-5.443534700837803	-5.677087271042852
4.893528302743508e-4	0.007527888928264136	0.009814146433537209	8.824687167172592e-4	0.004398264306510446	0.004003449007347402	0.012022958069855672	0.0019373937787871111	0.006905552246396552	0.0023265583587323536	-5.075445838273119	-4.475067520593927	-4.399444164176637	-5.434840874063896	-4.8738603272974865	-4.767333771077212	-4.638274276260076	-5.033830054201724	-5.41811320904304	-5.643646657377969
4.722953898109357e-4	0.008270944078172165	0.01091390784377256	9.496397361811394e-4	0.004858081052441114	0.004371522877785307	0.013260895117742089	0.0021868646915680114	0.0074067304509924875	0.002572223508125051	-5.038643234477342	-4.4418056605346585	-4.369905095545757	-5.39853433262714	-4.8438642739123265	-4.735733977427177	-4.611000875017401	-5.001684512986365	-5.392691717248275	-5.610206043713086
4.7818014543541965e-4	0.009068199351862115	0.012128282027693449	0.0010274505485782862	0.005346855007972445	0.004774901827896764	0.014605259568237593	0.0024931230424497276	0.007960795237947516	0.0028997699084874415	-5.001840630681565	-4.40854380047539	-4.340366026914878	-5.362227791190382	-4.813868220527167	-4.704134183777143	-4.583727473774727	-4.969538971771007	-5.367270225453511	-5.576765430048204
