At_noENH	At_withENH	Sb_withENH	Sb_noENH	Zm_noENH	Zm_withENH
0.9243410277153451	4.628302726536428	3.900992395116911	0.062414846857412054	0.7711028190400449	5.0270959538780735
0.08788592771691556	4.507094967831177	4.319577282139475	-0.298747724723769	-0.14697604495928152	4.594458649256047
0.3364316698797519	4.705574342266133	2.9356019144306167	-0.1364220933129	-0.12987501370528798	4.631635535443005
0.3798385246859725	4.828727485350803	4.202306106757227	0.2879367634297014	0.2767676806392919	4.7202573376560055
-0.17017588447966348	4.248182199057656	3.4125513767647875	0.11895271035388622	0.04248944243002373	4.875066318878668
-0.9142846023382083	4.326594784906879	4.104929736305033	-0.09796010498762842	-0.5650848913920423	4.5578398606926855
-0.32809626698388705	4.606388583680494	4.607081526818384	0.6983889697627523	-0.3822004108660283	4.703037673890897
-0.5494252623375874	5.02866143199447	4.592214465977845	-0.22186420151491804	-0.02748151989801373	5.240964647487595
0.03653173109486163	4.876640419765609	3.418551193200118	-0.4582574652669229	0.06563626856699112	4.8926994491124765
-0.010036705645528832	4.886898420075814	4.274609236224093	0.7037788891393737	0.17317582989479974	4.523651669130844
-0.12790320554564094	4.492628486415079	3.9419270045993358	-0.4306822533800726	0.29179296725410725	4.978316205572498
0.11466828034193521	4.86959541185203	4.602108090830817	-0.40891856560961204	0.017445747908927278	4.759243997479459
-0.04877334406416467	5.114070325112822	NaN	0.14504600388267874	0.2175703302381769	4.829631586039769
0.6994395689955848	4.820514685376889	NaN	0.8172951840463769	-0.4392176383436156	4.408767914422606
-0.13947561214759197	4.816234253174945	NaN	-0.12823847412573475	NaN	4.334501274398372
