x.1	x.2	x.3	y.1	y.2	y.3
0.007704426502861389	2.949946468844952e-4	0.0020275092375402577	-5.52612361200957	-7.475733430966398	-6.539863768386113
0.007798830883044187	3.349112897401604e-4	0.002059459552996731	-5.5028898786001	-7.439651475652521	-6.511068801441673
0.007838169578323223	3.720712871450715e-4	0.002021462709741334	-5.479656145190629	-7.403569520338645	-6.482273834497232
0.007828397284544647	4.07792606238836e-4	0.0019271925088602748	-5.456422411781158	-7.367487565024769	-6.453478867552792
0.007780148516549176	4.398084664692863e-4	0.0017976861154129532	-5.433188678371688	-7.331405609710893	-6.424683900608351
0.0077072331834350345	4.6228605312399697e-4	0.0016625270939892227	-5.409954944962217	-7.295323654397016	-6.395888933663911
0.0076212955809686934	0.00046903460380676707	0.001546039252865518	-5.3867212115527465	-7.25924169908314	-6.367093966719471
0.007536143268433431	4.579067649371561e-4	0.0014659606483728453	-5.363487478143276	-7.223159743769264	-6.338298999775031
0.00746478639513216	4.3418829606933903e-4	0.001435094448226747	-5.340253744733805	-7.187077788455388	-6.30950403283059
0.007415554171801796	4.121920942360018e-4	0.0014513004349757752	-5.317020011324335	-7.150995833141511	-6.28070906588615
0.007397459515940945	4.0829624782449193e-4	0.001505134235777902	-5.293786277914864	-7.114913877827635	-6.251914098941709
0.00741436437253757	4.3486767886039294e-4	0.0015839177403395694	-5.270552544505394	-7.078831922513759	-6.223119131997269
0.007466305862859054	4.962546095645033e-4	0.0016728839771382434	-5.247318811095923	-7.0427499671998826	-6.194324165052828
0.00755375351443533	5.875246698083038e-4	0.0017572360221824203	-5.2240850776864525	-7.006668011886006	-6.165529198108388
0.007667909394127475	6.964028467336229e-4	0.0018279400755437053	-5.200851344276982	-6.97058605657213	-6.136734231163947
0.007805492963914491	8.057307841418862e-4	0.001880520669358777	-5.177617610867511	-6.934504101258254	-6.107939264219507
0.007954250119764125	9.015965936266887e-4	0.0019141433298439882	-5.154383877458041	-6.8984221459443775	-6.079144297275066
0.0081060908472028	9.739889676247702e-4	0.001935201316643897	-5.13115014404857	-6.862340190630501	-6.050349330330626
0.008251288620426716	0.0010175718066639406	0.0019517518474554858	-5.107916410639099	-6.826258235316625	-6.021554363386185
0.00838219056323519	0.0010311734224109225	0.001972882400706632	-5.084682677229629	-6.790176280002749	-5.992759396441745
0.008491680493493293	0.0010184598961471736	0.0020094628452079146	-5.061448943820158	-6.7540943246888725	-5.963964429497305
0.008578415216521001	9.874710228774753e-4	0.0020685642517586865	-5.038215210410687	-6.718012369374996	-5.935169462552865
