sample	p.value	med	lq	uq	lw	uw	n	id
10	2.4414062500000016e-4	0.9847290036635101	0.6350339988441607	1.402192472466302	0.24305610779977038	2.283053918606768	13	1
30	4.882812500000003e-4	1.562366835540221	0.9212463184603809	1.9153540467349148	0.4173116650558817	2.2249536576861226	12	2
35	2.4414062500000016e-4	1.2280086760216071	0.811268484612212	1.5335518165657875	0.41808573557908035	2.165542469437188	13	3
40	4.882812500000003e-4	1.2105285847316962	0.7249453733144496	1.4893272363339354	0.29675455622693336	1.6302891900375398	12	4
50	1.2207031250000005e-4	1.0582531945672038	0.8965042362815606	1.2098810735394694	0.5657586014584481	1.6799463294263326	14	5
60	1.2207031250000005e-4	1.0550243209798973	0.6921109006596656	1.4614646569330407	0.23027261947400302	2.6154952913431035	14	6
65	9.765624999999999e-4	1.0216111802149737	0.7524493726476181	1.5423284205995254	0.4863442051725424	2.2460120128821983	11	7
70	4.882812500000003e-4	1.3825151961967101	1.068531531841846	1.627611406059076	0.7124421039713074	2.0820300529216937	12	8
80	2.4414062500000016e-4	1.4913713510692412	1.3024007498174492	1.6672991616408912	0.7779061576304356	2.214646779376054	13	9
90	6.103515625000003e-5	1.2729371058465317	0.9601676253212947	1.7213260961009569	0.032618762137991086	2.3707340003984054	15	10
95	7.324218750000004e-4	1.1087646629047039	0.53516093168539	1.4110189965337145	-0.33222710676931133	1.9622923946680042	13	11
100	4.882812500000003e-4	1.3858979211697904	1.0694144832680825	1.4829563221267827	0.4491017249800322	2.103269080414833	13	12
105	2.4414062500000016e-4	1.16253696003366	0.8385136111953337	1.7327611195114643	0.1319654778950038	2.2125710953054183	13	13
110	2.4414062500000016e-4	1.3177348055995726	1.0087585433325006	1.6499240187113222	0.37510880359728743	2.2463766594779946	13	14
115	4.882812500000003e-4	1.4417378179291327	1.304729070209908	1.6864885833661925	0.828358432949297	1.9487773542896407	12	15
120	0.0024414062500000017	0.5722933540416877	0.33738508682053414	0.8118220771230891	-0.37427039863329825	1.5234775625769215	13	16
150	0.047851562500000035	-0.2832006398738196	-0.5211731453547972	-0.013530057054081723	-0.9228645181423243	0.6238103629931491	13	17
155	0.009765625	-0.7154743049040169	-0.8320783022097713	-0.398461812013467	-0.9825529174607844	0.25196292328098957	10	18
160	0.4921875	-0.3168828203430343	-0.45046860866974636	0.010763816380196412	-0.7350209021318738	0.7026124539551106	10	19
