sample.name	leaf	proto
noENH	-1.8682314506861388	-2.631166427377071
noENH	-2.156579022079208	-1.8267849315717177
noENH	0.09510670136859314	-1.2615340960623298
noENH	-2.987320865929254	-3.338643071995324
noENH	-0.1843231312397957	-1.9702750848833481
noENH	-0.5602937335202178	-1.8176725731295975
noENH	-0.9115802257115485	-2.4332062802678722
withENH	-0.5737408292834989	-0.6535673799151112
withENH	1.7160034950677079	-2.1469608845372576
withENH	1.3864227034938224	-1.1577137301836609
noENH	-1.8768063232951329	-3.0841243792455675
noENH	-2.2455571000028844	-2.8663476299619384
withENH	0.7240720629234805	-1.2096953268526147
noENH	0.003292425444292424	-3.4932754289501693
noENH	-2.227172555822113	-3.7344722141639353
withENH	0.5003425744378701	-2.6349568318304306
noENH	-1.662457422155833	-3.0619028682792053
withENH	2.071802678983391	-0.2810133394221564
withENH	1.0200368527838992	-1.4220550470348288
noENH	-3.2159657402957222	-4.900777102945504
withENH	3.093275847093537	1.3165329999471682
noENH	-1.2308021588666476	-3.1353796396289058
noENH	-1.6244566487945704	-1.7597991288969905
withENH	0.311391572325445	-1.6767060390417918
noENH	-2.4715329221616433	-4.197051159586962
noENH	-1.744351086662959	-2.4387505549309747
withENH	1.207861324077292	-1.0669346960322672
withENH	0.9736342936851987	-1.80031322984998
noENH	-2.426306152645134	-2.993188817127412
withENH	1.063689091331793	-1.0078565963382136
withENH	NaN	-1.1593111048514195
noENH	NaN	-4.706557063292855
withENH	2.029789418964654	-0.17126023870010182
withENH	-0.9564345885068947	-3.414800744460244
noENH	-2.476135249556264	-2.4055016943324237
withENH	-0.5199416162434815	-1.6423807994682207
noENH	0.15824661604433704	-3.001247252536194
withENH	1.3840564738284444	-1.6422809372903382
noENH	-2.1756110786966882	-1.6537961504249026
noENH	-1.0451836791386595	-1.138564847112466
noENH	-2.547614589685886	-3.648842964282063
withENH	0.41892033606246215	-1.7274698852023178
noENH	-3.291370215503968	-3.2148528437012924
withENH	1.4708957299110859	-2.8500884648249123
noENH	-2.19040553872225	-3.976244955358588
noENH	-1.3218517038769775	-3.393317393027635
withENH	2.6739616517101537	-0.6634486276483256
noENH	-0.9406135057359086	-1.6790375303360094
noENH	-0.21159302048392448	-2.9022959582646966
withENH	0.6835549458613636	-1.0873331155613768
withENH	-0.16144141438948567	-1.7501007287860948
noENH	-1.4288128409527285	-1.55741910318456
withENH	1.7365864601692418	-0.9398567680477733
noENH	1.3576840557327563	-3.5789896531985694
noENH	-1.3937963517046736	-2.4963315154247354
withENH	-0.1799479725431914	-1.6173006551485578
withENH	2.8090192168631147	-0.6781120423508618
withENH	-2.4458660067313405	-4.328602321254879
withENH	0.8633222307283503	-0.6926159537014525
noENH	-3.1419235438492636	-4.736712385917666
noENH	-2.250175936975303	-3.4775320187018246
withENH	1.0547683662431917	-1.2664699570568652
noENH	-1.6074453019387958	-3.071517549099886
noENH	-1.6672954651637513	-2.210269710093632
noENH	NaN	-2.420692067408436
noENH	-1.7683930289335854	-2.999345307776232
noENH	-2.1923542756727574	-3.0999746039935676
withENH	1.4741088644908023	-0.17090676920970913
noENH	-2.471048687906464	-2.0150734829921615
withENH	0.5005838172742849	-1.4626902117162188
noENH	-1.8928472725276886	-2.2271623363203936
withENH	-0.4996574255621299	-1.2114913654266455
withENH	NaN	-1.067616457716976
noENH	-1.6304429696276088	-1.8647194941518195
noENH	-0.18442457113742716	-3.6012643130502564
noENH	-1.8511792976966999	-2.966373652389745
withENH	0.23361409277410505	-2.327973254590967
noENH	-1.6733825094529253	-3.264308229546369
noENH	-1.87793610455571	-2.9459653775515755
withENH	2.4612461018462595	0.6394025998247566
withENH	1.6739616517101537	-1.8373717765077229
noENH	0.17033538043619634	-3.1954813058216787
noENH	1.3950242822076668	-1.4536318235310621
withENH	1.5843788187384074	-1.4167408071327463
withENH	0.49664849860789895	-2.1887967944321414
noENH	-0.43359372857067674	-3.036211891535763
withENH	2.3425916615739055	1.2711779317895515
withENH	0.38018109912384246	-1.653216716426362
withENH	2.1536732435548958	1.205753045616875
withENH	1.1035680131715833	-2.089999073029494
noENH	-4.772307974958403	-3.0093534815987852
withENH	3.337403390754067	1.5562795509399212
withENH	2.3891463637696457	-0.30030104513147016
withENH	1.8942938541335859	-0.0047038179151346615
withENH	0.07412116864479901	-2.1969672227268378
