none	35S	AB80	Cab-1	rbcS-E9
-0.10176538786656564	3.104896993260218	-1.5712714186480734	-0.4965646731078417	-1.3158621622014695
0.06853951201526254	3.4781189232754555	-1.4489572396164119	-0.3704890747015722	-0.6778924118171519
0.1359158838923924	3.322750887876235	-1.2435500455258093	-0.03344035969267811	-0.7568948700132578
0.5910284334070491	3.2897337344831055	-1.22234399493828	-0.19461996399999648	-0.6490388802525902
0.3703403182828498	3.160771937303986	-1.304382665315751	-0.33544600167816674	-0.7099063954166882
0	3.146801397139794	-0.6439710958101414	-0.5831063294463772	-0.8435423477850821
-0.05174832174219318	3.2264104024073372	-1.2251743905690808	-0.10731275518019145	-0.8626341235528379
-0.04560617569918807	3.1685515446235044	-1.1456100561118225	-0.34451182418039183	-0.8519740744077735
-0.6546012238371233	NaN	NaN	-0.4187619032694143	-0.7380358427619418
NaN	NaN	NaN	-0.31515904934362604	NaN
